model_version,metric,min_value,max_value,points
v1,per,0,5,20
v1,per,5,8,15
v1,per,8,10,10
v1,per,10,1e18,5
v1,pbr,0,0.3,5
v1,pbr,0.3,0.6,4
v1,pbr,0.6,1.0,3
v1,dividend_yield,0,3,2
v1,dividend_yield,3,5,5
v1,dividend_yield,5,7,7
v1,dividend_yield,7,1e18,10
v1,div_growth_years,3,5,3
v1,div_growth_years,5,10,4
v1,div_growth_years,10,1e18,5
v2,per,0,5,10
v2,per,5,8,7
v2,per,8,10,5
v2,per,10,15,2
v2,roe,10,15,5
v2,roe,15,20,10
v2,roe,20,1e18,15
v2,fcf_yield,0,3,2
v2,fcf_yield,3,5,4
v2,fcf_yield,5,8,7
v2,fcf_yield,8,1e18,10
v2,pbr,0,0.3,5
v2,pbr,0.3,0.6,4
v2,pbr,0.6,1.0,3
v2,peg,0,0.5,10
v2,peg,0.5,1.0,7
v2,peg,1.0,1.5,4
v2,debt_ratio,0,30,10
v2,debt_ratio,30,60,7
v2,debt_ratio,60,100,4
v2,debt_ratio,100,200,2
v2,dividend_yield,0,3,2
v2,dividend_yield,3,5,5
v2,dividend_yield,5,7,7
v2,dividend_yield,7,1e18,10
v2,div_growth_years,3,5,3
v2,div_growth_years,5,7,6
v2,div_growth_years,7,10,8
v2,div_growth_years,10,1e18,10
