순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),정량합계,이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),최종_예상점수,메모
1,JB금융지주,175330,KOSPI/KOSDAQ,7.9,15,0.96,3,3.8,5,O,5,9,4,1.9,4,O,7,43,,,,,,,=S2+SUM(T2:Y2),
2,하나금융지주,086790,KOSPI/KOSDAQ,7.9,15,0.71,3,3.5,5,O,5,5,4,2.8,2,O,7,41,,,,,,,=S3+SUM(T3:Y3),
3,BNK금융지주,138930,KOSPI/KOSDAQ,6.5,15,0.49,4,4.2,5,O,5,2,0,0.8,4,O,7,40,,,,,,,=S4+SUM(T4:Y4),
4,우리금융지주,316140,KOSPI/KOSDAQ,7.5,15,0.65,3,4.1,5,O,5,2,0,0.0,4,O,7,39,,,,,,,=S5+SUM(T5:Y5),
5,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.3,20,0.51,4,2.4,2,X,0,9,4,14.0,0,O,7,37,,,,,,,=S6+SUM(T6:Y6),
6,신한지주,055550,KOSPI/KOSDAQ,9.0,10,0.76,3,2.7,2,O,5,5,4,0.8,4,O,7,35,,,,,,,=S7+SUM(T7:Y7),
7,MPLX LP,MPLX,NYQ,11.6,5,-,0,7.1,10,O,5,3,3,0.0,5,O,7,35,,,,,,,=S8+SUM(T8:Y8),
8,iM금융지주,139130,KOSPI/KOSDAQ,5.9,15,0.42,4,4.1,5,X,0,1,0,0.8,4,O,7,35,,,,,,,=S9+SUM(T9:Y9),
9,Itau Unibanco Banco Holding SA,ITUB,NYQ,11.3,5,2.47,0,9.0,10,O,5,4,3,0.0,4,O,7,34,,,,,,,=S10+SUM(T10:Y10),
10,한국전력공사,015760,KOSPI/KOSDAQ,3.2,20,0.58,4,3.6,5,X,0,1,0,0.0,5,X,0,34,,,,,,,=S11+SUM(T11:Y11),
11,Enterprise Products Partners L.,EPD,NYQ,14.3,5,-,0,5.7,7,O,5,27,5,0.0,5,O,7,34,,,,,,,=S12+SUM(T12:Y12),
12,Allstate Corporation (The),ALL,NYQ,5.5,15,1.83,0,1.9,2,O,5,15,5,70.7,0,O,7,34,,,,,,,=S13+SUM(T13:Y13),
13,"Prudential Financial, Inc.",PRU,NYQ,9.5,10,1.05,0,5.6,7,O,5,17,5,47.6,0,O,7,34,,,,,,,=S14+SUM(T14:Y14),
14,"United Parcel Service, Inc.",UPS,NYQ,15.4,5,5.28,0,6.5,7,O,5,16,5,0.0,4,O,7,33,,,,,,,=S15+SUM(T15:Y15),
15,VICI Properties Inc.,VICI,NYQ,10.7,5,1.07,0,6.4,7,O,5,7,4,0.0,5,O,7,33,,,,,,,=S16+SUM(T16:Y16),
16,"Paychex, Inc.",PAYX,NMS,19.7,5,8.05,0,4.7,5,O,5,12,5,0.0,5,O,7,32,,,,,,,=S17+SUM(T17:Y17),
17,"Nike, Inc.",NKE,NYQ,28.4,5,4.54,0,3.7,5,O,5,24,5,0.0,5,O,7,32,,,,,,,=S18+SUM(T18:Y18),
18,케이티,030200,KOSPI/KOSDAQ,8.0,10,0.76,3,3.9,5,O,5,2,0,4.3,2,O,7,32,,,,,,,=S19+SUM(T19:Y19),
19,한국타이어앤테크놀로지,161390,KOSPI/KOSDAQ,7.9,15,0.58,4,4.4,5,X,0,8,4,1.5,4,X,0,32,,,,,,,=S20+SUM(T20:Y20),
20,Energy Transfer LP,ET,NYQ,14.8,5,-,0,6.9,7,O,5,4,3,0.0,5,O,7,32,,,,,,,=S21+SUM(T21:Y21),
21,Target Corporation,TGT,NYQ,15.1,5,3.47,0,3.7,5,O,5,42,5,0.0,5,O,7,32,,,,,,,=S22+SUM(T22:Y22),
22,"WEC Energy Group, Inc.",WEC,NYQ,24.7,5,2.82,0,3.0,5,O,5,22,5,0.0,5,O,7,32,,,,,,,=S23+SUM(T23:Y23),
23,Keurig Dr Pepper Inc.,KDP,NMS,16.9,5,1.38,0,3.6,5,O,5,5,4,0.0,5,O,7,31,,,,,,,=S24+SUM(T24:Y24),
24,Medtronic plc.,MDT,NYQ,24.8,5,2.33,0,3.2,5,O,5,7,4,0.0,5,O,7,31,,,,,,,=S25+SUM(T25:Y25),
25,KB금융,105560,KOSPI/KOSDAQ,9.5,10,0.90,3,2.8,2,O,5,5,4,6.0,0,O,7,31,,,,,,,=S26+SUM(T26:Y26),
26,기아,000270,KOSPI/KOSDAQ,7.7,15,1.00,3,4.3,5,X,0,5,4,0.5,4,X,0,31,,,,,,,=S27+SUM(T27:Y27),
27,Banco Bradesco Sa,BBD,NYQ,9.5,10,1.20,0,4.3,5,O,5,1,0,0.3,4,O,7,31,,,,,,,=S28+SUM(T28:Y28),
28,Banco Bradesco Sa,BBDO,NYQ,8.4,10,1.07,0,4.4,5,O,5,1,0,0.3,4,O,7,31,,,,,,,=S29+SUM(T29:Y29),
29,Truist Financial Corporation,TFC,NYQ,11.9,5,0.97,3,4.2,5,O,5,0,0,0.0,5,O,7,30,,,,,,,=S30+SUM(T30:Y30),
30,HD현대,267250,KOSPI/KOSDAQ,4.9,20,0.62,3,1.6,2,O,5,1,0,10.5,0,X,0,30,,,,,,,=S31+SUM(T31:Y31),
31,Petroleo Brasileiro S.A. Petrob,PBR,NYQ,6.4,15,3.22,0,4.2,5,O,5,0,0,0.0,5,X,0,30,,,,,,,=S32+SUM(T32:Y32),
32,Kimberly-Clark Corporation,KMB,NMS,16.0,5,21.51,0,5.2,7,O,5,20,5,12.3,0,O,7,29,,,,,,,=S33+SUM(T33:Y33),
33,Comcast Corporation,CMCSA,NMS,5.1,15,1.05,0,4.4,5,O,5,6,4,20.2,0,X,0,29,,,,,,,=S34+SUM(T34:Y34),
34,Apple Inc.,AAPL,NMS,32.6,5,43.48,0,0.4,2,O,5,13,5,0.0,5,O,7,29,,,,,,,=S35+SUM(T35:Y35),
35,"L3Harris Technologies, Inc.",LHX,NYQ,42.4,5,3.47,0,1.3,2,O,5,24,5,0.0,5,O,7,29,,,,,,,=S36+SUM(T36:Y36),
36,DBA Sempra,SRE,NYQ,35.3,5,2.05,0,2.6,2,O,5,15,5,0.0,5,O,7,29,,,,,,,=S37+SUM(T37:Y37),
37,"Altria Group, Inc.",MO,NYQ,16.1,5,-,0,6.2,7,O,5,16,5,40.4,0,O,7,29,,,,,,,=S38+SUM(T38:Y38),
38,Unilever PLC,UL,NYQ,19.5,5,7.08,0,3.9,5,O,5,3,3,0.1,4,O,7,29,,,,,,,=S39+SUM(T39:Y39),
39,"Lowe's Companies, Inc.",LOW,NYQ,20.5,5,-,0,1.9,2,O,5,26,5,0.0,5,O,7,29,,,,,,,=S40+SUM(T40:Y40),
40,General Dynamics Corporation,GD,NYQ,22.8,5,3.74,0,1.7,2,O,5,12,5,0.0,5,O,7,29,,,,,,,=S41+SUM(T41:Y41),
41,Deutsche Bank AG,DB,NYQ,9.0,10,0.66,3,2.4,2,X,0,3,3,0.4,4,O,7,29,,,,,,,=S42+SUM(T42:Y42),
42,"Martin Marietta Materials, Inc.",MLM,NYQ,33.2,5,3.77,0,0.5,2,O,5,10,5,0.0,5,O,7,29,,,,,,,=S43+SUM(T43:Y43),
43,American Tower Corporation (REI,AMT,NYQ,32.6,5,22.59,0,3.9,5,O,5,14,5,2.7,2,O,7,29,,,,,,,=S44+SUM(T44:Y44),
44,KLA Corporation,KLAC,NMS,48.4,5,40.39,0,0.4,2,O,5,10,5,0.0,5,O,7,29,,,,,,,=S45+SUM(T45:Y45),
45,Visa Inc.,V,NYQ,32.1,5,17.21,0,0.8,2,O,5,17,5,0.0,5,O,7,29,,,,,,,=S46+SUM(T46:Y46),
46,Bank of America Corporation,BAC,NYQ,12.8,5,1.29,0,2.1,2,O,5,12,5,0.0,5,O,7,29,,,,,,,=S47+SUM(T47:Y47),
47,Arcelor Mittal NY Registry Shar,MT,NYQ,14.6,5,0.84,3,0.9,2,O,5,4,3,1.8,4,O,7,29,,,,,,,=S48+SUM(T48:Y48),
48,"Analog Devices, Inc.",ADI,NMS,62.9,5,5.04,0,1.1,2,O,5,22,5,0.0,5,O,7,29,,,,,,,=S49+SUM(T49:Y49),
49,"Gilead Sciences, Inc.",GILD,NMS,20.8,5,7.81,0,2.2,2,O,5,10,5,0.0,5,O,7,29,,,,,,,=S50+SUM(T50:Y50),
50,Walmart Inc.,WMT,NMS,46.6,5,10.23,0,0.7,2,O,5,43,5,0.0,5,O,7,29,,,,,,,=S51+SUM(T51:Y51),
51,Shell PLC,SHEL,NYQ,15.2,5,1.56,0,3.1,5,O,5,3,3,1.0,4,O,7,29,,,,,,,=S52+SUM(T52:Y52),
52,AbbVie Inc.,ABBV,NYQ,88.8,5,-,0,3.1,5,O,5,12,5,3.8,2,O,7,29,,,,,,,=S53+SUM(T53:Y53),
