순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
1,HP Inc.,HPQ,NYQ,6.8,15,-,0,6.3,7,O,5,15,5,0.0,5,O,7,,,,,,,44,=SUM(S2:X2),=Y2+Z2,
2,"BCE, Inc.",BCE,NYQ,4.9,20,1.56,0,7.0,7,O,5,0,0,0.0,5,O,7,,,,,,,44,=SUM(S3:X3),=Y3+Z3,
3,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.9,20,0.34,4,6.7,7,O,5,0,0,37.4,0,O,7,,,,,,,43,=SUM(S4:X4),=Y4+Z4,
4,Grupo Cibest S.A.,CIB,NYQ,9.5,10,0.00,5,11.0,10,X,0,4,3,0.0,5,O,7,,,,,,,40,=SUM(S5:X5),=Y5+Z5,
5,Fifth Third Bancorp - Depositar,FITBI,NMS,6.6,15,0.76,3,8.2,10,O,5,0,0,28.6,0,O,7,,,,,,,40,=SUM(S6:X6),=Y6+Z6,
6,BNK금융지주,138930,KOSPI/KOSDAQ,6.9,15,0.52,4,4.0,5,O,5,2,0,0.8,4,O,7,,,,,,,40,=SUM(S7:X7),=Y7+Z7,
7,우리금융지주,316140,KOSPI/KOSDAQ,7.7,15,0.67,3,4.0,5,O,5,2,0,0.0,4,O,7,,,,,,,39,=SUM(S8:X8),=Y8+Z8,
8,AGNC Investment Corp.,AGNC,NMS,6.9,15,0.93,3,13.7,10,O,5,0,0,0.0,5,X,0,,,,,,,38,=SUM(S9:X9),=Y9+Z9,
9,Annaly Capital Management Inc.,NLY,NYQ,7.6,15,0.95,3,12.7,10,O,5,1,0,0.0,5,X,0,,,,,,,38,=SUM(S10:X10),=Y10+Z10,
10,JB금융지주,175330,KOSPI/KOSDAQ,8.1,10,0.98,3,3.7,5,O,5,9,4,1.9,4,O,7,,,,,,,38,=SUM(S11:X11),=Y11+Z11,
11,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.1,20,0.50,4,2.5,2,X,0,9,4,14.0,0,O,7,,,,,,,37,=SUM(S12:X12),=Y12+Z12,
