순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,4.6,10,38.4,15,17.6,10,1.78,5,0.01,10,292.3,0,1.9,2,15,10,O,10,72,,=W2+X2,
2,"Sun Communities, Inc.",SUI,NYQ,11.3,2,20.7,15,5.5,7,2.34,5,0.15,10,81.4,4,6.4,7,9,8,O,10,68,,=W3+X3,
3,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.7,10,20.1,15,74.8,10,0.34,5,0.02,10,236.7,0,6.7,7,0,0,O,10,67,,=W4+X4,
4,"The Hartford Insurance Group, I",HIG,NYQ,9.1,5,21.5,15,15.5,10,1.97,5,0.26,10,357.0,0,1.6,2,13,10,O,10,67,,=W5+X5,
5,"BCE, Inc.",BCE,NYQ,4.9,10,28.1,15,14.4,10,1.58,5,0.16,10,247.0,0,6.8,7,0,0,O,10,67,,=W6+X6,
6,"The Travelers Companies, Inc.",TRV,NYQ,8.6,5,23.8,15,16.2,10,2.04,5,0.26,10,344.9,0,1.5,2,20,10,O,10,67,,=W7+X7,
7,Novo Nordisk A/S,NVO,NYQ,10.7,2,60.1,15,14.2,10,6.70,3,0.45,10,175.4,2,3.7,5,7,8,O,10,65,,=W8+X8,
8,Itau Unibanco Banco Holding SA,ITUB,NYQ,9.7,5,21.9,15,61.9,10,2.19,5,0.66,7,1394.2,0,9.7,10,4,3,O,10,65,,=W9+X9,
9,Synchrony Financial,SYF,NYQ,7.1,7,21.8,15,38.5,10,1.55,5,0.48,10,637.4,0,1.6,2,4,3,O,10,62,,=W10+X10,
10,RenaissanceRe Holdings Ltd.,RNR,NYQ,4.6,10,24.4,15,28.8,10,1.11,5,0.05,10,305.4,0,0.4,2,0,0,O,10,62,,=W11+X11,
11,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W12+X12,
12,SEI Investments Company,SEIC,NMS,15.2,0,30.1,15,5.0,4,4.57,3,0.86,7,21.2,10,1.1,2,12,10,O,10,61,,=W13+X13,
13,"McCormick & Company, Incorporat",MKC-V,NYQ,7.8,7,23.6,15,5.8,7,1.84,5,1.51,0,125.9,2,3.8,5,22,10,O,10,61,,=W14+X14,
14,"McCormick & Company, Incorporat",MKC,NYQ,7.8,7,23.6,15,5.7,7,1.85,5,1.52,0,125.9,2,3.8,5,27,10,O,10,61,,=W15+X15,
15,ResMed Inc.,RMD,NYQ,19.8,0,23.4,15,5.5,7,4.64,3,0.69,7,35.3,7,1.1,2,13,10,O,10,61,,=W16+X16,
16,Trip.com Group Limited,TCOM,NMS,7.6,7,19.5,10,36.3,10,1.40,5,0.04,10,55.4,7,0.6,2,0,0,O,10,61,,=W17+X17,
17,Comcast Corporation,CMCSA,NMS,5.0,7,21.3,15,20.3,10,1.08,5,0.08,10,194.2,2,4.6,5,6,6,X,0,60,,=W18+X18,
18,"Leidos Holdings, Inc.",LDOS,NYQ,11.9,2,28.2,15,9.7,10,3.35,3,0.38,10,205.9,0,1.2,2,7,8,O,10,60,,=W19+X19,
19,VICI Properties Inc.,VICI,NYQ,9.9,5,11.0,5,8.2,10,1.09,0,0.37,10,65.5,4,6.1,7,7,8,O,10,59,,=W20+X20,
20,"General Mills, Inc.",GIS,NYQ,8.7,5,23.7,15,12.0,10,2.05,5,-,0,246.7,0,6.8,7,6,6,O,10,58,,=W21+X21,
21,"PayPal Holdings, Inc.",PYPL,NMS,8.3,5,25.8,15,12.8,10,2.14,5,0.22,10,295.8,0,0.3,2,0,0,O,10,57,,=W22+X22,
22,"NetEase, Inc.",NTES,NMS,15.3,0,21.1,15,64.4,10,15.93,3,0.79,7,35.1,7,2.6,2,4,3,O,10,57,,=W23+X23,
23,International Business Machines,IBM,NYQ,20.5,0,32.6,15,5.2,7,6.68,3,0.24,10,373.5,0,2.9,2,30,10,O,10,57,,=W24+X24,
24,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W25+X25,
25,Fox Corporation,FOX,NMS,13.2,2,17.3,10,12.0,10,2.28,2,0.41,10,94.7,4,1.0,2,5,6,O,10,56,,=W26+X26,
26,Kinross Gold Corporation,KGC,NYQ,12.8,2,31.5,15,7.0,7,4.03,3,0.10,10,40.3,7,0.3,2,0,0,O,10,56,,=W27+X27,
27,"Gilead Sciences, Inc.",GILD,NMS,19.7,0,37.5,15,5.6,7,7.40,3,0.86,7,160.4,2,2.4,2,10,10,O,10,56,,=W28+X28,
28,"Dillard's, Inc.",DDS,NYQ,16.5,0,32.1,15,6.6,7,5.29,3,-,0,97.0,4,5.2,7,12,10,O,10,56,,=W29+X29,
29,Fox Corporation,FOXA,NMS,14.6,2,17.3,10,10.8,10,2.53,2,0.45,10,94.7,4,0.9,2,5,6,O,10,56,,=W30+X30,
30,"T. Rowe Price Group, Inc.",TROW,NMS,10.8,2,19.4,10,6.6,7,2.09,2,0.95,7,23.4,10,4.9,5,3,3,O,10,56,,=W31+X31,
31,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.0,10,12.0,5,-10.3,0,0.48,4,0.18,10,31.9,7,2.6,2,9,8,O,10,56,,=W32+X32,
32,Progressive Corporation (The),PGR,NYQ,9.9,5,36.1,15,15.0,10,3.59,3,0.06,10,281.4,0,2.5,2,2,0,O,10,55,,=W33+X33,
33,Applied Industrial Technologies,AIT,NYQ,29.0,0,21.7,15,4.0,4,6.29,3,0.75,7,60.7,4,0.6,2,16,10,O,10,55,,=W34+X34,
34,Intuit Inc.,INTU,NMS,26.2,0,22.8,15,5.3,7,5.98,3,1.12,4,79.9,4,1.1,2,14,10,O,10,55,,=W35+X35,
35,Banco Bilbao Vizcaya Argentaria,BBVA,NYQ,10.3,2,19.2,10,10.6,10,1.94,5,0.48,10,1481.2,0,3.8,5,4,3,O,10,55,,=W36+X36,
36,클래시스,214150,KOSPI/KOSDAQ,27.5,0,25.5,15,-0.4,0,7.01,3,0.78,7,26.2,10,0.5,2,8,8,O,10,55,,=W37+X37,
37,"Best Buy Co., Inc.",BBY,NYQ,11.6,2,36.1,15,10.2,10,4.17,3,-,0,394.9,0,6.5,7,8,8,O,10,55,,=W38+X38,
38,XP Inc.,XP,NMS,9.5,5,22.0,15,148.2,10,2.07,5,0.60,7,1584.0,0,1.0,2,0,0,O,10,54,,=W39+X39,
39,Millicom International Cellular,TIGO,NMS,10.2,2,36.2,15,6.8,7,3.71,3,0.12,10,374.5,0,5.6,7,0,0,O,10,54,,=W40+X40,
40,케이씨씨,002380,KOSPI/KOSDAQ,2.9,10,20.6,15,-7.2,0,0.60,5,0.01,10,117.6,2,2.5,2,2,0,O,10,54,,=W41+X41,
41,Willis Towers Watson Public Lim,WTW,NMS,14.9,2,20.9,15,6.2,7,3.11,3,0.68,7,270.5,0,1.4,2,9,8,O,10,54,,=W42+X42,
42,H World Group Limited,HTHT,NMS,20.4,0,39.7,15,48.4,10,7.83,3,0.01,10,404.7,0,3.7,5,1,0,O,10,53,,=W43+X43,
43,파마리서치,214450,KOSPI/KOSDAQ,21.1,0,24.4,15,-0.8,0,5.14,3,0.24,10,43.5,7,0.3,2,6,6,O,10,53,,=W44+X44,
44,Globe Life Inc.,GL,NYQ,13.4,2,15.2,10,10.3,10,2.03,2,0.57,7,415.7,0,0.7,2,10,10,O,10,53,,=W45+X45,
45,"Toll Brothers, Inc.",TOL,NYQ,9.6,5,16.4,10,7.8,7,1.57,5,1.30,4,71.5,4,0.7,2,5,6,O,10,53,,=W46+X46,
46,Newmont Corporation,NEM,NYQ,14.6,2,24.2,15,5.9,7,3.53,3,0.19,10,64.6,4,0.9,2,0,0,O,10,53,,=W47+X47,
47,Zoetis Inc.,ZTS,NYQ,14.3,2,80.2,15,6.0,7,11.50,3,1.40,4,364.3,0,2.3,2,12,10,O,10,53,,=W48+X48,
48,"Rogers Communication, Inc.",RCI,NYQ,3.8,10,39.2,15,10.5,10,1.54,5,0.07,10,365.2,0,2.9,2,0,0,X,0,52,,=W49+X49,
49,Cincinnati Financial Corporatio,CINF,NMS,9.2,5,17.5,10,12.2,10,1.62,5,-,0,162.3,2,2.1,2,7,8,O,10,52,,=W50+X50,
50,Edison International,EIX,NYQ,7.0,7,21.8,15,-2.7,0,1.53,5,0.08,10,436.4,0,4.8,5,1,0,O,10,52,,=W51+X51,
51,"Martin Marietta Materials, Inc.",MLM,NYQ,14.3,2,22.4,15,2.7,2,3.21,3,1.35,4,81.5,4,0.5,2,10,10,O,10,52,,=W52+X52,
52,"United Parcel Service, Inc.",UPS,NYQ,19.4,0,27.0,15,5.6,7,5.24,3,-,0,350.2,0,6.6,7,16,10,O,10,52,,=W53+X53,
53,"Simon Property Group, Inc.",SPG,NYQ,14.2,2,88.9,15,4.9,4,12.61,3,0.48,10,650.9,0,4.2,5,4,3,O,10,52,,=W54+X54,
54,"Cheniere Energy, Inc.",LNG,NYQ,9.9,5,67.3,15,4.6,4,6.70,3,0.16,10,439.7,0,0.8,2,4,3,O,10,52,,=W55+X55,
55,Evercore Inc.,EVR,NYQ,18.6,0,41.9,15,8.5,10,7.78,3,2.83,0,124.9,2,1.0,2,18,10,O,10,52,,=W56+X56,
56,"Ameriprise Financial, Inc.",AMP,NYQ,14.6,2,45.5,15,18.8,10,6.62,3,1.55,0,2815.0,0,1.4,2,20,10,O,10,52,,=W57+X57,
57,The AES Corporation,AES,NYQ,7.6,7,30.6,15,-15.9,0,2.31,5,0.01,10,983.3,0,4.9,5,13,10,X,0,52,,=W58+X58,
58,Tencent Music Entertainment Gro,TME,NYQ,8.9,5,13.8,5,62.6,10,1.24,0,0.19,10,24.3,10,1.9,2,1,0,O,10,52,,=W59+X59,
59,Agnico Eagle Mines Limited,AEM,NYQ,17.6,0,20.3,15,4.5,4,3.59,3,0.22,10,33.8,7,0.9,2,0,0,O,10,51,,=W60+X60,
60,Logitech International S.A. - R,LOGI,NMS,26.7,0,24.3,15,5.2,7,6.50,3,8.92,0,75.3,4,1.5,2,11,10,O,10,51,,=W61+X61,
61,"Comfort Systems USA, Inc.",FIX,NYQ,55.9,0,43.5,15,1.5,2,24.32,3,0.91,7,146.5,2,0.1,2,13,10,O,10,51,,=W62+X62,
62,"PulteGroup, Inc.",PHM,NYQ,11.1,2,15.8,10,7.7,7,1.74,5,33.32,0,40.5,7,0.8,2,8,8,O,10,51,,=W63+X63,
63,Expand Energy Corporation,EXE,NMS,7.3,7,16.5,10,7.0,7,1.20,5,-,0,51.0,7,3.3,5,1,0,O,10,51,,=W64+X64,
64,"Jack Henry & Associates, Inc.",JKHY,NMS,20.8,0,23.0,15,3.9,4,4.80,3,2.57,0,38.9,7,1.6,2,22,10,O,10,51,,=W65+X65,
65,"Universal Health Services, Inc.",UHS,NYQ,9.0,5,16.1,10,7.8,7,1.45,5,0.25,10,111.6,2,0.5,2,0,0,O,10,51,,=W66+X66,
66,"Broadridge Financial Solutions,",BR,NYQ,16.3,0,39.0,15,5.9,7,6.35,3,1.02,4,211.5,0,2.4,2,18,10,O,10,51,,=W67+X67,
67,Target Corporation,TGT,NYQ,15.5,0,22.9,15,4.9,4,3.54,3,1.43,4,268.0,0,3.6,5,42,10,O,10,51,,=W68+X68,
68,"Paychex, Inc.",PAYX,NMS,20.7,0,40.8,15,5.0,7,8.44,3,3.42,0,336.3,0,4.5,5,12,10,O,10,50,,=W69+X69,
69,Barrick Mining Corporation,B,NYQ,14.0,2,18.8,10,5.5,7,2.64,2,0.11,10,59.0,7,1.3,2,1,0,O,10,50,,=W70+X70,
70,"Expedia Group, Inc.",EXPE,NMS,25.1,0,100.8,15,9.6,10,25.25,3,0.38,10,1706.0,0,0.6,2,0,0,O,10,50,,=W71+X71,
71,Johnson & Johnson,JNJ,NYQ,25.9,0,25.9,15,3.5,4,6.70,3,1.44,4,147.4,2,2.3,2,63,10,O,10,50,,=W72+X72,
72,"Mueller Industries, Inc.",MLI,NYQ,18.0,0,25.4,15,4.5,4,4.58,3,3.20,0,17.4,10,0.7,2,5,6,O,10,50,,=W73+X73,
73,Hubbell Inc,HUBB,NYQ,29.0,0,24.0,15,3.3,4,6.97,3,1.41,4,123.1,2,1.1,2,18,10,O,10,50,,=W74+X74,
74,"Powell Industries, Inc.",POWL,NMS,59.9,0,26.4,15,1.4,2,15.78,3,0.44,10,66.4,4,0.1,2,3,3,O,10,49,,=W75+X75,
75,Eli Lilly and Company,LLY,NYQ,34.6,0,81.0,15,0.7,2,28.00,3,0.67,7,273.7,0,0.6,2,11,10,O,10,49,,=W76+X76,
76,대한조선,439260,KOSPI/KOSDAQ,12.6,2,24.4,15,-0.3,0,3.09,3,0.29,10,40.3,7,0.3,2,0,0,O,10,49,,=W77+X77,
77,CDW Corporation,CDW,NMS,13.5,2,40.9,15,7.6,7,5.52,3,-,0,515.0,0,2.3,2,12,10,O,10,49,,=W78+X78,
78,Chubb Limited,CB,NYQ,11.2,2,15.3,10,10.1,10,1.72,5,0.42,10,265.0,0,0.6,2,0,0,O,10,49,,=W79+X79,
79,Ericsson,ERIC,NMS,14.3,2,24.6,15,74.2,10,0.38,5,0.97,7,182.8,2,2.4,2,6,6,X,0,49,,=W80+X80,
80,AerCap Holdings N.V.,AER,NYQ,6.2,7,21.3,15,-2.8,0,1.33,5,0.15,10,288.2,0,0.5,2,1,0,O,10,49,,=W81+X81,
81,QUALCOMM Incorporated,QCOM,NMS,21.9,0,36.4,15,5.9,7,7.96,3,-,0,109.5,2,1.7,2,22,10,O,10,49,,=W82+X82,
82,Alamos Gold Inc.,AGI,NYQ,17.0,0,23.0,15,1.5,2,3.91,3,0.09,10,41.9,7,0.1,2,0,0,O,10,49,,=W83+X83,
83,Kimberly-Clark Corporation,KMB,NMS,15.7,0,118.0,15,4.9,4,18.47,3,8.07,0,850.2,0,5.1,7,20,10,O,10,49,,=W84+X84,
84,"UDR, Inc.",UDR,NYQ,24.9,0,14.9,5,5.0,7,3.71,0,0.39,10,189.5,2,4.6,5,16,10,O,10,49,,=W85+X85,
